model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Auxiliary (01),0.8896310091018677,0.03431357228111932,0.001518553402274847,0.0007729929325936767,28.751678469619446,2.3167797678972177,0.026793463565409185,0.007852094882446207,0.8896310091018677,0.03431357228111932,28.751678469619446,2.3167797678972177,0.001518553402274847,0.0007729929325936767,0.026793463565409185,0.007852094882446207,0.016606270857155322,0.0038695855005971367,0.01830954063683748,0.003467823093331804,0.31175229476850813,0.11892189447440583,0.44749857276678084,0.2011551352068818,0.39661938220262527,0.15105455536127352,0.06509538,0.015168503
BBB (02),0.896798574924469,0.031768405588037174,0.0013782860734499992,0.0006860666083025302,29.15311045426361,2.2802516448675973,0.025753141716122627,0.007280726083860917,0.8950878274440766,0.03185319659216366,29.047023721332707,2.2574135668738564,0.0014089950721245259,0.0006950802851922636,0.02604254575446248,0.007305066410946951,0.0037978466413915155,0.0007699743614536136,0.005459834402427077,0.0009678090211541097,0.37944979633838644,0.10453316550809875,0.3499028158187866,0.1597649582096048,0.2493044137954712,0.080057679796028,0.014887286,0.0030182456
BBB (03),0.897393171787262,0.031742409376084996,0.0013676348584704102,0.0006831453043122487,29.190756190721203,2.288829821099924,0.02565211970359087,0.007273338067668608,0.8951075776418049,0.031858719261771806,29.04854744057557,2.2581376424473962,0.001408622822879503,0.0006952284098026996,0.026039548392097153,0.007306288141265815,0.00487439576536417,0.0009904545888598402,0.006307466253638268,0.001119836855361666,0.338270611152873,0.10039389829537365,0.3884350883960724,0.15878770186020147,0.31043100357055664,0.09184806795293281,0.01910728,0.0038825148
BBB (04),0.8976745080947875,0.031730916033401425,0.0013626107096206396,0.0006816979598584475,29.208533879822664,2.2927183528228787,0.025604177936911582,0.007269643946395915,0.8951007306575776,0.03186306146586341,29.04817667956269,2.2580093962637147,0.00140873116615694,0.0006953000491475639,0.026040661484003066,0.0073065880492029145,0.005376674858853221,0.0010931274123904822,0.0066907210089266304,0.0011879143991895776,0.32156766115916546,0.09710406818800654,0.4073150461912155,0.1560626834874813,0.34249070823192596,0.09567271303750871,0.021076178,0.004284983
BBB (05),0.8978481006622314,0.03172991004248457,0.0013596478814724832,0.0006810796544899864,29.21937381071873,2.2956447676838514,0.02557548403739929,0.007269402443203586,0.8951009821891784,0.03186865089455893,29.048059357969255,2.2583424402687555,0.0014088358674198389,0.000695554308098309,0.02604144944250584,0.007308479805875326,0.005666764043271541,0.0011508712973451972,0.006909805685281754,0.001225847754837802,0.3113544693202389,0.09500706207436216,0.4194836533069611,0.15396906451135475,0.36267082452774047,0.09715611623408227,0.022213308,0.004511331
BBB (06),0.8979663920402526,0.031723789407982636,0.0013575964386109262,0.0006804789331352395,29.226723745122925,2.2974204790913917,0.025555979385972025,0.007268071073870714,0.8951041797796886,0.031868183043215786,29.048070963940134,2.258456702835981,0.0014088461819725731,0.0006955736152360911,0.02604162167136868,0.007308756997671447,0.005855973940342664,0.0011905113104408959,0.007052925433963537,0.0012525053523751745,0.3041505618900128,0.09343927323526775,0.4282298928499222,0.15244626073714135,0.3766458523273468,0.09780305250794039,0.022954995,0.0046667224
BBB (07),0.8980483531951904,0.03172173991373794,0.001356166482437402,0.0006801194734343492,29.231887639895422,2.2986585560066057,0.02554206993430853,0.007267381153925889,0.8951039178030831,0.03187041078285989,29.048028651528636,2.2585706592061188,0.0014088829370614675,0.0006956620397700406,0.02604176303105695,0.007309345505420676,0.005988896451890468,0.001218051362378883,0.007153043579310178,0.001270883540504515,0.2988335341074423,0.0921660713416557,0.4348076033592224,0.15114952032313173,0.3868859577178955,0.09796868550960133,0.023476042,0.004774673
BBB (08),0.8981109642982483,0.0317201263539513,0.0013550448312889785,0.0006798873812180692,29.23602818165375,2.299829591269339,0.025531299151480197,0.007267101878237804,0.8951042962074279,0.031871924574688675,29.04822134246122,2.2588771987783636,0.0014088674905360676,0.0006957573919963055,0.026041631693951784,0.007309912608154148,0.006087903901934624,0.0012383150732157469,0.007227648496627808,0.00128442656532046,0.29477056348504294,0.09110894618868694,0.4398692071437836,0.1500320385586416,0.39462821900844575,0.09790663975425337,0.023864143,0.004854111
BBB (09),0.8981586837768555,0.0317155887368795,0.001354212611913681,0.0006796087653950499,29.238935004522475,2.3003472993499945,0.025523273311555385,0.007266018773715568,0.8951038845380147,0.031868439869451794,29.048068989753787,2.2586316067236822,0.0014088824735437003,0.0006957096575963075,0.026041775631407894,0.007309246697933559,0.006163592524826527,0.0012527235289018113,0.0072845426388084885,0.0012931531487175788,0.2915224607866996,0.0902543900164627,0.4439640456438065,0.14914293867320827,0.40075665950775147,0.09779782532358493,0.024160838,0.004910585
BBB (10),0.8981985926628113,0.03171015045333257,0.0013534665782935918,0.0006792624763842376,29.241403637102984,2.300541948591053,0.025516195818781853,0.00726432378510748,0.8951060037612915,0.03186460666709931,29.048118982925686,2.2582870724518402,0.0014088114365004003,0.000695557414332388,0.026041227031499147,0.007308053134036322,0.006223502159118652,0.0012644555442451874,0.007329466734081507,0.0013005722331206097,0.2888861211855939,0.08953882982537183,0.4472979444265366,0.14841234137409764,0.40574074506759644,0.09763913357200424,0.02439568,0.0049565746
BBB (15),0.898309497833252,0.03170586000504253,0.0013514711835887283,0.0006787156268700612,29.248587549612918,2.302222461347566,0.025497130267322064,0.007263082634289867,0.895101287206014,0.0318652925743487,29.047890908118966,2.2582465750924667,0.0014088813224807381,0.0006955982570664869,0.02604195074737072,0.007308148759822019,0.0064030101150274275,0.0013000920325275831,0.0074650411866605286,0.001324210133553673,0.2807547497987594,0.08723670390479504,0.4578286838531494,0.1458826648186745,0.42108116269111634,0.09677716637092362,0.025099343,0.005096271
BBB (20),0.8983662867546082,0.03170565424877702,0.0013505186070688069,0.0006784737386752563,29.25210744305114,2.3032514531070465,0.025487744249403477,0.007262748130742358,0.8951001199483872,0.03186812040351869,29.04773432568803,2.2584582735477166,0.0014089578608982264,0.0006956559894930436,0.026042536029592157,0.007308653749087211,0.006491749491542578,0.001318071954386514,0.007531654331833124,0.0013359924036215464,0.27659163249909147,0.08600880981924558,0.4633011090755463,0.1444923253585401,0.4288806128501892,0.0961391713303225,0.02544719,0.005166748
BBB (25),0.8983995342254638,0.031707049598970735,0.001349959714571014,0.0006783358976994458,29.25412837184177,2.3037253477186073,0.025482235476374626,0.007262510741894863,0.8950985020637512,0.031871433731761926,29.047556266007796,2.2584490356985185,0.0014090172154828907,0.0006957094730642623,0.02604298008084297,0.0073089736812698555,0.0065448137372732165,0.0013291357894667365,0.007571346629410982,0.0013432569784587844,0.2740196216525913,0.0852226382171091,0.4667766708135605,0.14361439467260934,0.43372326135635375,0.09565709378306261,0.025655199,0.005210116
BBB (30),0.8984238028526306,0.03170424844773732,0.001349522037198767,0.0006781672122710759,29.255678582360837,2.3040824111181797,0.02547788731753826,0.007261764080097428,0.8950997020403544,0.03186916995160927,29.047634284553716,2.258436515977389,0.0014089833227141448,0.0006956452121888755,0.02604255045577884,0.007308466183218857,0.006579582374542952,0.0013353040994177542,0.0075973175466060635,0.0013471377263199681,0.27226364042104734,0.08466301902235425,0.4691139191389084,0.14300011126428575,0.43698545813560485,0.09528397047469131,0.025791489,0.0052342955
BBB (35),0.8984358024597168,0.03170454864530514,0.0013493351626675575,0.0006781606074619352,29.256440612164237,2.304451683465638,0.025475943014025688,0.007261800756538041,0.895095284802573,0.03187016348151503,29.047355699738155,2.258576441432603,0.0014090916668064893,0.000695728534813281,0.026043426440230437,0.007308735413267411,0.006604546494781971,0.001340499737615736,0.007616082597523928,0.0013508464173453188,0.2710450615008487,0.0842717198646238,0.4707815599441528,0.14253225005724143,0.4393366825580597,0.09494412039334924,0.025889345,0.005254662
BBB (40),0.8984467768669129,0.03170291106797937,0.001349122691899538,0.0006780640359892825,29.257180971310348,2.3046150656472495,0.02547402624040842,0.007261335822761477,0.8950936617851258,0.031869145156525586,29.047317646961734,2.258576635339748,0.0014090980238397604,0.0006956969934710924,0.026043606510385873,0.007308441853552044,0.006623155642300844,0.001344399865887335,0.007629966326057911,0.0013536116719912547,0.2701117869095823,0.08396059158503305,0.47206306338310244,0.14215533577467504,0.44112871050834657,0.09468191090052494,0.025962288,0.0052699484
