model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Auxiliary (01),0.9324322121483939,0.021820678126749603,0.0005932734929956028,0.0002889133329616202,32.66335821861931,1.8124126389324264,0.014844402830515541,0.003495038155651485,0.9324322121483939,0.021820678126749603,32.66335821861931,1.8124126389324264,0.0005932734929956028,0.0002889133329616202,0.014844402830515541,0.003495038155651485,0.012369787905897362,0.0030687065783770234,0.015237222532076447,0.0034066407274265516,0.1565275587826553,0.03029436921251713,0.6793441312653677,0.042099145897897296,0.5414834882531847,0.027787747340135248,0.048488673057142856,0.012029115838512882
BBB (02),0.9402424539838519,0.022375869338978994,0.0004942899719545429,0.00027226851117890735,33.53965125099187,1.9768408679302825,0.013696989310639195,0.00353741147281109,0.939524131161826,0.022440158424522242,33.46593413856503,1.9702925537215927,0.0005023419549355628,0.0002752321486168284,0.013801516259887339,0.0035488855751673065,0.0016109175946829115,0.00043782334762078714,0.00273444183902544,0.000769231610416098,0.3375735310831184,0.03971227225405067,0.47300538761275157,0.04440896943213188,0.3600460163184574,0.03505982650472756,0.0063146814714285715,0.0017162371669624656
BBB (03),0.9404815895216806,0.022351760234269224,0.0004916237700463971,0.0002712639657071417,33.5642483338811,1.9788777883518403,0.01366177509937963,0.0035331331918520593,0.9395237196059455,0.022436149552883797,33.46567052992281,1.969993693687548,0.0005023541091109257,0.0002751898533905883,0.013801301164286428,0.0035482888537747602,0.002066038209678823,0.0005612966129443617,0.0031570782951477884,0.0008863528467160269,0.2502808848535404,0.03713912086796156,0.5593962763037,0.04418011872180943,0.4281297760350364,0.03862226338341741,0.00809872242,0.0022002413881887124
BBB (04),0.9406028321811131,0.02234236531125246,0.0004902789901409258,0.00027079289331029824,33.57678086644927,1.9800180339970939,0.01364418792405293,0.0035311917201357426,0.939524787238666,0.022437187855333527,33.46571944906291,1.9700175874250847,0.0005023521144591172,0.00027521370959462683,0.013801386167428273,0.0035483142646349918,0.00227879893832968,0.000620283122520622,0.0033484670832486657,0.0009413841495609524,0.22215049661643094,0.03546645446157607,0.5889416950089591,0.04302889500617274,0.4594006359577179,0.03982620081953084,0.008932728034285714,0.002431464147766826
BBB (05),0.9406732184546335,0.022335959279518692,0.0004895098981380543,0.0002704991519558937,33.583979405857654,1.980796225088798,0.013633830259953185,0.00353011360408022,0.9395235160418919,0.02243669277534043,33.46547484750162,1.970061297333399,0.0005023795103520744,0.00027520901291533726,0.013801577783056622,0.003548293945408686,0.002401370478660883,0.0006533932246794539,0.0034573192475363173,0.0009713465466707128,0.20912013251413106,0.034745682644783275,0.6032554566860199,0.04244784664696129,0.4772924900054932,0.040386179138436465,0.009413196994285713,0.0025612535637265215
BBB (06),0.9407206399100168,0.022330940415680043,0.0004889771666576857,0.0002702895526667028,33.58889423664703,1.9811293000694548,0.013626776342945393,0.003529163827804813,0.9395227798393795,0.022435398880897642,33.465343870105116,1.9699195627809687,0.0005023863677966029,0.00027519403871859027,0.013801604966145138,0.003548084900759006,0.0024817327469853,0.0006757066622027477,0.00352894251700486,0.0009918948800392271,0.20160545964096926,0.03431964743260046,0.6118133936609541,0.04196875420397405,0.4889504441193172,0.04069685639043787,0.009728211891428572,0.0026487200741297894
BBB (07),0.9407548768179758,0.022328483672392065,0.0004885894874209999,0.00027014190631970565,33.59249773994419,1.981427596162656,0.013621582250509886,0.003528508378527153,0.939522845647773,0.022435533070104634,33.46536256488305,1.9698562262439037,0.0005023800953271886,0.00027517947057409246,0.013801426577324718,0.0035479267005435,0.002537882121811971,0.0006908644625821174,0.0035787537028746396,0.0010059880313534513,0.19673116260065732,0.034024981600048694,0.6174481187547957,0.04169724839901318,0.49708138023103987,0.0408721527951555,0.009948312634285715,0.002708139511021949
BBB (08),0.9407798460551671,0.022325543907983674,0.0004883159122462514,0.00027002928026490636,33.59501478801293,1.9815865847447702,0.013618108736617172,0.0035280029499846076,0.9395218661853245,0.022434835822773114,33.4651831889063,1.9697531312860355,0.0005023946887896171,0.00027517139483982793,0.013801755034364713,0.003547825829285995,0.0025798318375433687,0.0007024496152065648,0.0036159298781837197,0.0010165347879250643,0.19327433404462355,0.033777297312034556,0.621424103634698,0.04142944924687242,0.5031043555055346,0.04099509023319025,0.01011275312,0.002753547252520386
BBB (09),0.9408002257347107,0.022324633788781658,0.0004880940375316886,0.0002699683393146749,33.59715031589616,1.981898807405841,0.013615071347781546,0.0035278458956548094,0.9395221471786499,0.022435651985839144,33.465214746719084,1.9698732360952136,0.0005023977510438314,0.0002751937695016917,0.013801673743578137,0.0035479901365338615,0.0026121738865704943,0.0007115658619179506,0.0036446179196770283,0.0010249312634395943,0.19073272475884476,0.03360624222583324,0.6244561084679194,0.04129534038450151,0.5077335161822183,0.041116755071206414,0.01023953634857143,0.0027892899312963863
